"","Team","Position","Injury","Injury Status","Date","Short_Name","Full_Name"
"361","ARI","DT","Undisclosed","IR. Injured Reserve",2021-08-25,"J. Crawford","Jack Crawford"
"362","DAL","RB","Hip","IR. Injured Reserve",2021-08-25,"R. Dowdle","Rico Dowdle"
"363","GB","CB","Toe","IR. Injured Reserve",2021-08-25,"W. Redmond","Will Redmond"
"364","JAC","RB","Foot","IR. Injured Reserve",2021-08-25,"T. Etienne","Travis Etienne"
"365","NYG","TE","Ankle","IR. Injured Reserve",2021-08-25,"R. John","Rysen John"
"366","NYG","CB","Ankle","IR. Injured Reserve",2021-08-25,"Q. Wilson","Quincy Wilson"
"367","BAL","LB","Knee - ACL","IR. Injured Reserve",2021-08-24,"L. Fort","L.J. Fort"
"368","CLE","LB","Achilles","IR. Injured Reserve",2021-08-24,"M. Meander","Montrel Meander"
"369","MIA","RB","Hamstring","IR. Injured Reserve",2021-08-24,"L. Bowden","Lynn Bowden"
"370","MIN","DE","Lower Body","IR. Injured Reserve",2021-08-24,"J. Robinson","Janarius Robinson"
"371","NO","DT","Triceps","IR. Injured Reserve",2021-08-24,"J. Dalton","Jalen Dalton"
"372","NO","OT","Arm","IR. Injured Reserve",2021-08-24,"E. Greenidge","Ethan Greenidge"
"373","NYJ","DE","Achilles","IR. Injured Reserve",2021-08-24,"C. Lawson","Carl Lawson"
"374","ATL","QB","Knee - ACL","IR. Injured Reserve",2021-08-23,"A. McCarron","AJ McCarron"
"375","DEN","C","Biceps","IR. Injured Reserve",2021-08-23,"B. Jones","Brett Jones"
"376","SEA","WR","Knee - ACL","IR. Injured Reserve",2021-08-23,"J. Ursua","John Ursua"
"377","SEA","LB","Knee - ACL","IR. Injured Reserve",2021-08-23,"B. Burr-Kirven","Ben Burr-Kirven"
"378","PHI","TE","Knee","IR. Injured Reserve",2021-08-21,"J. Croom","Jason Croom"
"379","ATL","TE","Undisclosed","IR. Injured Reserve",2021-08-20,"R. Becker","Ryan Becker"
"380","NYJ","CB","Knee - MCL","IR. Injured Reserve",2021-08-20,"Z. Lewis","Zane Lewis"
"381","DAL","CB","Toe","IR. Injured Reserve",2021-08-18,"R. Robinson II","Reggie Robinson II"
"382","DAL","OT","Knee","IR. Injured Reserve",2021-08-18,"M. Hyatt","Mitch Hyatt"
"383","DET","TE","Undisclosed","NFI-R for Week 8 vs. Philadelphia",2021-08-18,"H. Bryant","Hunter Bryant"
"384","IND","DT","Hip","IR. Injured Reserve",2021-08-18,"R. Windsor","Rob Windsor"
"385","IND","WR","Groin","IR. Injured Reserve",2021-08-18,"J. Nelson","J.J. Nelson"
"386","JAC","WR","Undisclosed","IR. Injured Reserve",2021-08-18,"T. Godwin","Terry Godwin"
"387","LAR","OG","Undisclosed","IR. Injured Reserve",2021-08-18,"J. Demby","Jamil Demby"
"388","LV","OT","Undisclosed","NFI-R for Week 9 at N.Y. Giants",2021-08-18,"K. Seymour","Kamaal Seymour"
"389","MIA","WR","Wrist","IR. Injured Reserve",2021-08-18,"A. Hurns","Allen Hurns"
"390","MIN","DT","Pelvis","NFI-R for Week 8 vs. Dallas",2021-08-18,"J. Twyman","Jaylen Twyman"
"391","NYJ","G","Undisclosed","IR. Injured Reserve",2021-08-18,"P. Ferguson","Parker Ferguson"
"392","SEA","DT","Undisclosed","IR. Injured Reserve",2021-08-18,"M. Webb","Marcus Webb"
"393","SF","OT","Knee - ACL","IR. Injured Reserve",2021-08-18,"J. Skule","Justin Skule"
"394","TB","FS","Achilles","IR. Injured Reserve",2021-08-18,"C. Riley","Curtis Riley"
"395","TB","OG","Knee - MCL","IR. Injured Reserve",2021-08-18,"S. Hutcherson","Sadarius Hutcherson"
"396","TEN","OT","Undisclosed","IR. Injured Reserve",2021-08-18,"B. Kemp","Brandon Kemp"
"397","WAS","WR","Undisclosed","IR. Injured Reserve",2021-08-18,"D. Cantrell","Dylan Cantrell"
"398","WAS","DE","Undisclosed","IR. Injured Reserve",2021-08-18,"J. Jelks","Jalen Jelks"
"399","CAR","CB","Knee - ACL","IR. Injured Reserve",2021-08-17,"T. Pride","Troy Pride"
"400","CLE","WR","Foot","IR. Injured Reserve",2021-08-17,"R. Switzer","Ryan Switzer"
"401","DAL","RB","Neck","IR. Injured Reserve",2021-08-17,"S. Olonilua","Sewo Olonilua"
"402","DET","TE","Neck","NFI-R for Week 8 vs. Philadelphia",2021-08-17,"C. Taumoepeau","Charlie Taumoepeau"
"403","DET","LB","Undisclosed","IR. Injured Reserve",2021-08-17,"S. Hamilton","Shaun Dion Hamilton"
"404","MIN","WR","Leg","IR. Injured Reserve",2021-08-17,"B. Proehl","Blake Proehl"
"405","TEN","DT","Foot","IR. Injured Reserve",2021-08-17,"T. Coley","Trevon Coley"
"406","BAL","DB","Undisclosed","IR. Injured Reserve",2021-08-16,"K. Dorsey","Khalil Dorsey"
"407","BAL","CB","Knee","IR. Injured Reserve",2021-08-16,"I. Marshall","Iman Marshall"
"408","CLE","TE","Knee","IR. Injured Reserve",2021-08-16,"S. Carlson","Stephen Carlson"
"409","NYG","LB","Knee - ACL","IR. Injured Reserve",2021-08-16,"T. Brunson","T.J. Brunson"
"410","NYG","OL","Ankle","IR. Injured Reserve",2021-08-16,"K. Murphy","Kyle Murphy"
